target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC266/A/WA/34388574.c,false,10000,104695,104182,true,2973,68596,45728,false,10000,138406,106815,false,10000,125098,93531,false,10000,118551,86930,
test/ABC266/A/WA/34388660.c,false,10000,140391,139871,false,10000,146824,124156,false,10000,156896,125048,false,10000,173342,141501,false,10000,168625,137187,
test/ABC266/A/WA/34388746.c,false,10000,102183,101679,false,10000,110389,87727,false,10000,127090,95491,false,10000,117928,86110,false,10000,124133,92646,
test/ABC266/A/WA/34389174.c,false,10000,144965,144463,false,10000,111885,89175,false,10000,134296,102689,false,10000,127588,96220,false,10000,137572,105969,
test/ABC266/A/WA/34389882.c,false,10000,138368,137869,true,1143,54733,32014,false,10000,136870,104968,false,10000,130837,98842,false,10000,131191,99527,
test/ABC266/A/WA/34395922.c,false,10000,90745,88794,false,10000,595896,572606,false,10000,635943,602231,false,10000,693137,659400,false,10000,709673,676384,
test/ABC266/A/WA/34398934.c,false,10000,57968,56649,false,10000,202122,179088,false,10000,234123,201148,false,10000,257809,224775,false,10000,264700,231310,
test/ABC266/A/WA/34400199.c,false,10000,77469,76318,false,10000,136505,113481,false,10000,151113,118959,false,10000,142269,110005,false,10000,145364,113337,
test/ABC266/A/WA/34400376.c,true,32,7241,6590,true,34,83778,60882,true,36,91642,59289,true,33,90580,58288,true,34,90149,58401,
test/ABC266/A/WA/34410301.c,false,10000,39773,39114,false,10000,142080,119398,false,10000,149168,117455,false,10000,180976,149234,false,10000,162687,131088,
test/ABC266/A/WA/34419742.c,false,10000,60158,58219,false,10000,379701,356265,false,10000,416143,383500,false,10000,467693,434400,
test/ABC266/A/WA/34439247.c,false,10000,40667,40249,false,10000,97272,74677,false,10000,93125,62053,false,10000,109923,78565,false,10000,108614,77068,
